category_title       ,price,characteristic_1,characteristic_2,characteristic_3,characteristic_4,characteristic_5,characteristic_6,characteristic_7,characteristic_8,characteristic_9,characteristic_10,flag
eleifend             ,87   ,$2.89B          ,$7.43B          ,$95.34M         ,$71.3M          ,$515.96M        ,$8.89B          ,$5.72B          ,$274.06M        ,$1.6B           ,$115.12M         ,true
sed                  ,68   ,$1.58B          ,$106.14M        ,$126.15M        ,$4.66B          ,$4.45B          ,$1.62B          ,$395.5M         ,$238.33M        ,$541.62M        ,$930.51M         ,false
pede morbi           ,76   ,$12.62B         ,n/a             ,$2.06B          ,$12.11B         ,$14.79B         ,$51.13M         ,n/a             ,$140.84M        ,n/a             ,$5.37B           ,true
eget                 ,96   ,$45.41M         ,$5.41B          ,$310.35M        ,$3.93B          ,n/a             ,$1.62B          ,$140.16M        ,$488.7M         ,$13.87B         ,n/a              ,false
accumsan odio        ,66   ,$313.17M        ,$251.09M        ,$290.7M         ,$276.36M        ,$1.41B          ,n/a             ,$689.02M        ,$2.4M           ,$2.07B          ,$617.53M         ,true
nisi                 ,39   ,$1.27B          ,$283.57M        ,$253.65M        ,n/a             ,$2.07B          ,$406.47M        ,$38.48B         ,$2.69B          ,$358.5M         ,$19.68M          ,true
feugiat et           ,63   ,$914.46M        ,n/a             ,$73.48M         ,$28.57B         ,$3.65B          ,$674.13M        ,$3.72B          ,$483.16M        ,$430.9M         ,$200.32M         ,false
lectus               ,44   ,$235.9M         ,$185.98M        ,$536.92M        ,$1.9B           ,$513.32M        ,$2.71B          ,n/a             ,$6.35B          ,$7.36M          ,n/a              ,false
in faucibus          ,22   ,$127.26M        ,$49.81M         ,n/a             ,$131.24M        ,$20.23B         ,$10.99M         ,$2.77B          ,$176.43B        ,$34.01M         ,n/a              ,false
amet nulla           ,88   ,$3.66B          ,$534.63M        ,$17.76M         ,$5.11B          ,$9.01B          ,$10.79B         ,$115.2M         ,$11.13B         ,$923.88M        ,$84.31M          ,true
consequat nulla      ,2    ,$323.6M         ,$50.34B         ,$1.23B          ,$23.69B         ,$91.07M         ,$1.22B          ,$2.09B          ,n/a             ,n/a             ,n/a              ,false
tellus semper        ,89   ,$587.6M         ,$4.11B          ,$27.15B         ,$1.41B          ,$123.47M        ,$16.14M         ,$52.53M         ,$883.27M        ,$93.98M         ,$3.99B           ,true
dui                  ,13   ,n/a             ,$34.59M         ,$1.15B          ,$275.42M        ,$1.02B          ,$1.55B          ,$6.9B           ,n/a             ,$5.53B          ,$73.35M          ,false
convallis            ,40   ,n/a             ,$142.71M        ,$2.16B          ,$832.71M        ,$262.32M        ,$88.11M         ,$441.75M        ,$1.81B          ,$38.81M         ,n/a              ,true
dolor                ,22   ,$547.07M        ,$8.71B          ,$277.1M         ,$1.88B          ,$136.12M        ,$143.51M        ,$19.95B         ,n/a             ,$864.5M         ,n/a              ,false
quis                 ,91   ,n/a             ,$49.73M         ,$446.47M        ,$267.54M        ,$799.91M        ,$32.74M         ,$5.23B          ,$1.35B          ,n/a             ,$87.57M          ,true
pharetra             ,38   ,$367.04M        ,$5.07B          ,$54.13M         ,$64.48M         ,$2.51B          ,$50.38B         ,$480.47M        ,$567.1M         ,$452.19M        ,$315.92M         ,true
dapibus duis         ,71   ,$7.84B          ,n/a             ,n/a             ,$361.05M        ,n/a             ,n/a             ,$763.43M        ,$819.54M        ,$7.24B          ,n/a              ,true
nisl duis            ,12   ,$1.11B          ,$1.61B          ,$370.33M        ,$990.02M        ,$153.62M        ,                ,$2.56B          ,$1.59B          ,$640.53M        ,$39.09M          ,true
ut mauris            ,23   ,$658.35M        ,$4.12B          ,n/a             ,$186.89M        ,n/a             ,$375.09M        ,$6.06B          ,$321.59M        ,n/a             ,$1.81B           ,true
ante                 ,92   ,$591.49M        ,n/a             ,$260.75M        ,$26.78B         ,n/a             ,$2.24B          ,$1.6B           ,$4.18B          ,$95.97B         ,$539.98M         ,false
amet diam            ,51   ,n/a             ,$79.48M         ,$161.77M        ,$161.21B        ,$128.56M        ,$25.34B         ,n/a             ,$7.97B          ,$1.92B          ,$187.29M         ,false
lobortis ligula      ,79   ,$4.27B          ,$21.56M         ,n/a             ,$1.45B          ,$780.46M        ,n/a             ,$290.7M         ,n/a             ,$59.33M         ,                 ,false
blandit ultrices     ,1    ,$9.46B          ,$4.36M          ,$1.1B           ,$96.78M         ,$681.44M        ,$1.02B          ,$1.56B          ,n/a             ,$161.49M        ,$128.99M         ,false
massa                ,16   ,$201.19M        ,n/a             ,n/a             ,n/a             ,$59.69M         ,n/a             ,$1.2B           ,$445.86M        ,$155.4M         ,$4.72B           ,true
orci                 ,15   ,$11.98M         ,$8.19B          ,$182.87M        ,$2.19B          ,$7.3B           ,n/a             ,$650.38M        ,$35.47M         ,$2.09B          ,$499.79M         ,true
leo                  ,89   ,$1.41B          ,n/a             ,n/a             ,n/a             ,$37.14M         ,$2.05B          ,$176.43B        ,$74.69M         ,$63.23M         ,$45.01M          ,true
convallis morbi      ,52   ,$69.38M         ,$121.54M        ,$73.29B         ,$59.43M         ,$649.98M        ,                ,$1.8B           ,$658.35M        ,$12.93M         ,                 ,true
in                   ,19   ,$23.78B         ,$1.85B          ,n/a             ,$2.05B          ,$1.32B          ,$1.07B          ,$7.79B          ,$33.7B          ,$35.76B         ,$508.11M         ,false
velit                ,1    ,$4.04B          ,n/a             ,$3.44B          ,$7.35B          ,$128.8M         ,$1.87B          ,$11.75B         ,n/a             ,$590.4M         ,$152.41M         ,true
quis justo           ,47   ,$57.31M         ,$10.31M         ,$270.26M        ,$8.74B          ,$2.67B          ,$558.54M        ,$9.79B          ,$1.83B          ,$3.33B          ,$15.58M          ,false
pharetra magna       ,92   ,$3.43B          ,$2.21B          ,$607.83M        ,$142.84M        ,$33.29B         ,$1.97M          ,$10.75B         ,$36.94M         ,$698.89M        ,$713.38M         ,false
ultrices libero      ,21   ,n/a             ,$6.89B          ,$13.04M         ,$57.73M         ,$415.04M        ,$93.37M         ,$2.19B          ,n/a             ,n/a             ,                 ,false
risus                ,15   ,n/a             ,$15.38M         ,$215.85M        ,n/a             ,$8.61M          ,$5.87B          ,$51.25B         ,$5.67B          ,$2.11B          ,$304.81M         ,false
aliquet              ,17   ,$187.18M        ,$45.01M         ,$165.72M        ,$121.6M         ,$85M            ,$512.55M        ,$258.6M         ,$10.19B         ,$73.46M         ,$4.79M           ,true
sem sed              ,92   ,$3.04B          ,n/a             ,$2B             ,$120.74M        ,$400.32M        ,$60.84M         ,$195.08M        ,$353.77B        ,$56.32M         ,$35.74B          ,true
in                   ,21   ,$8.11B          ,n/a             ,$187.27B        ,$3.53B          ,$5.11B          ,$42.5B          ,$5.12B          ,$354.29M        ,$47.48M         ,$506.48M         ,false
lectus               ,17   ,$4.75B          ,$1.07B          ,$580.97M        ,$2.5B           ,$406.45M        ,$1.49B          ,$465.13M        ,$147.55M        ,$1.05B          ,$953.28M         ,false
orci                 ,28   ,n/a             ,$19.54B         ,$101.59M        ,$227.14M        ,n/a             ,$959.07M        ,$204.58M        ,$8.39B          ,$654.14M        ,n/a              ,false
diam                 ,77   ,$46.22B         ,$254.6M         ,$254.6M         ,$69.05M         ,$65.07M         ,$14.72B         ,n/a             ,$5.24M          ,$71.34M         ,                 ,false
vestibulum           ,33   ,$72.51M         ,$8.89B          ,$1.26B          ,$20.65B         ,n/a             ,$487.29M        ,$742.65M        ,$279M           ,n/a             ,$5.76M           ,true
sed                  ,8    ,$357.95M        ,$3.63B          ,$102.6M         ,$1.55B          ,$3.93B          ,$414.27M        ,$255.47M        ,n/a             ,$703.42M        ,                 ,false
justo                ,31   ,$29.61M         ,$2.6B           ,$520.17M        ,$3.82B          ,n/a             ,$95.34M         ,$5.31B          ,$17.14B         ,$22.37M         ,n/a              ,false
interdum             ,7    ,n/a             ,n/a             ,$41.4M          ,$1.21B          ,$1.55B          ,$5.77B          ,$222.61M        ,$57.72M         ,$296.12M        ,$548.36M         ,false
faucibus accumsan    ,23   ,n/a             ,$347.55M        ,$378.97M        ,n/a             ,$157.8M         ,$209.48M        ,n/a             ,$87.97B         ,$12.54B         ,$78.33M          ,true
aenean auctor        ,25   ,$742.65M        ,$1.73B          ,$1.31B          ,$288.73M        ,$1.56B          ,$431.76M        ,$369.08M        ,$19.39B         ,$1.84B          ,$7.26B           ,true
ut nunc              ,24   ,$1.44B          ,$6.5B           ,$245.88M        ,$444.68M        ,$27.19M         ,n/a             ,$536.19M        ,$41.77B         ,$3.5B           ,$98.16M          ,false
